# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	max(p)	max(epsilon)	max(k)
160             	1.99390229e+01	4.76996487e+03	5.64211369e+00
161             	1.97569834e+01	4.76706751e+03	5.65081171e+00
162             	1.95594711e+01	4.76457587e+03	5.65798006e+00
163             	1.93426217e+01	4.76163306e+03	5.66424098e+00
164             	1.91292183e+01	4.75847246e+03	5.66894453e+00
165             	1.89005087e+01	4.75590220e+03	5.67266524e+00
166             	1.86649936e+01	4.75278742e+03	5.67488830e+00
167             	1.84335004e+01	4.74962536e+03	5.67597333e+00
168             	1.81948234e+01	4.74687794e+03	5.67572509e+00
169             	1.80045023e+01	4.74394522e+03	5.67414610e+00
170             	1.77785434e+01	4.74149464e+03	5.67149968e+00
171             	1.74939236e+01	4.73857469e+03	5.66718771e+00
172             	1.73195538e+01	4.73670544e+03	5.66218486e+00
173             	1.70717166e+01	4.73490239e+03	5.65530603e+00
174             	1.68758545e+01	4.73327121e+03	5.64786347e+00
175             	1.66896561e+01	4.73143451e+03	5.63886177e+00
176             	1.65147208e+01	4.72958822e+03	5.62867906e+00
177             	1.63538890e+01	4.72769295e+03	5.61770879e+00
178             	1.62174630e+01	4.72591346e+03	5.60528793e+00
179             	1.60861148e+01	4.72417983e+03	5.59205604e+00
180             	1.59876400e+01	4.72247386e+03	5.57802066e+00
181             	1.59020197e+01	4.72072592e+03	5.56288058e+00
182             	1.58437877e+01	4.71900213e+03	5.54679982e+00
183             	1.58008579e+01	4.71734030e+03	5.53041228e+00
184             	1.57777005e+01	4.71570941e+03	5.51335279e+00
185             	1.57746135e+01	4.71415605e+03	5.49574281e+00
186             	1.57881086e+01	4.71271870e+03	5.47776652e+00
187             	1.58182970e+01	4.71127452e+03	5.45960296e+00
188             	1.58636993e+01	4.70985573e+03	5.44142974e+00
189             	1.59345118e+01	4.70840389e+03	5.42341547e+00
190             	1.59987415e+01	4.70697747e+03	5.40573534e+00
191             	1.60716104e+01	4.70551353e+03	5.38875932e+00
192             	1.61523612e+01	4.70419340e+03	5.37278870e+00
193             	1.62389525e+01	4.70301917e+03	5.35766703e+00
194             	1.63281827e+01	4.70182980e+03	5.34413704e+00
195             	1.64140157e+01	4.70057429e+03	5.33182032e+00
196             	1.65075382e+01	4.69933831e+03	5.32135046e+00
197             	1.66066331e+01	4.69827710e+03	5.31219531e+00
198             	1.66927463e+01	4.69710373e+03	5.30493878e+00
199             	1.67825068e+01	4.69587568e+03	5.29895728e+00
200             	1.68609730e+01	4.69487763e+03	5.29447331e+00
201             	1.69468064e+01	4.69389650e+03	5.29136814e+00
202             	1.70216637e+01	4.69292628e+03	5.28926840e+00
203             	1.71003327e+01	4.69204720e+03	5.28810540e+00
204             	1.71677255e+01	4.69116675e+03	5.28812581e+00
205             	1.72377741e+01	4.69032337e+03	5.28891780e+00
206             	1.72996783e+01	4.68943892e+03	5.29035743e+00
207             	1.73569899e+01	4.68864826e+03	5.29236477e+00
208             	1.73955837e+01	4.68783946e+03	5.29485733e+00
209             	1.74381102e+01	4.68709002e+03	5.29776103e+00
210             	1.74735708e+01	4.68641115e+03	5.30100939e+00
211             	1.75123705e+01	4.68567163e+03	5.30453192e+00
212             	1.75337173e+01	4.68488972e+03	5.30826341e+00
213             	1.75498790e+01	4.68422131e+03	5.31213688e+00
214             	1.75594251e+01	4.68349464e+03	5.31609120e+00
215             	1.75679600e+01	4.68287660e+03	5.32007084e+00
216             	1.75682886e+01	4.68224666e+03	5.32402658e+00
217             	1.75668477e+01	4.68158586e+03	5.32809027e+00
218             	1.75547991e+01	4.68097863e+03	5.33216953e+00
