# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	min(p)	min(epsilon)	min(k)
153             	-4.76668365e+00	9.58645593e-01	3.90295259e-03
154             	-4.77860006e+00	9.34390847e-01	3.77095568e-03
155             	-4.85814157e+00	9.09345121e-01	3.64920585e-03
156             	-4.85300816e+00	8.87820389e-01	3.55062815e-03
157             	-4.95718624e+00	8.69433840e-01	3.45676284e-03
158             	-5.02230938e+00	8.51230923e-01	3.36781605e-03
159             	-5.05128125e+00	8.35110944e-01	3.28819700e-03
160             	-5.16820407e+00	8.19566601e-01	3.20491813e-03
161             	-5.24366845e+00	8.03201301e-01	3.12500203e-03
162             	-5.32856890e+00	7.88516679e-01	3.05428748e-03
163             	-5.41098731e+00	7.74338043e-01	2.97869740e-03
164             	-5.51377690e+00	7.58947085e-01	2.90461479e-03
165             	-5.62332414e+00	7.44983238e-01	2.83754894e-03
166             	-5.73133268e+00	7.31038338e-01	2.76327064e-03
167             	-5.81561761e+00	7.15259759e-01	2.68785707e-03
168             	-5.96235332e+00	7.00247144e-01	2.61541651e-03
169             	-6.02050604e+00	6.85247013e-01	2.54604653e-03
170             	-6.11659709e+00	6.71101222e-01	2.48139195e-03
171             	-6.29982842e+00	6.57511497e-01	2.41742123e-03
172             	-6.36805901e+00	6.44095330e-01	2.35884308e-03
173             	-6.50397178e+00	6.32199672e-01	2.30458965e-03
174             	-6.60546659e+00	6.20545956e-01	2.25310828e-03
175             	-6.69880301e+00	6.09564581e-01	2.20293294e-03
176             	-6.78742991e+00	5.98657410e-01	2.15538319e-03
177             	-6.87100769e+00	5.88683866e-01	2.11275426e-03
178             	-6.92821096e+00	5.79276817e-01	2.06613549e-03
179             	-7.01356526e+00	5.68524117e-01	2.01872704e-03
180             	-7.04741648e+00	5.58571772e-01	1.97535674e-03
181             	-7.09958178e+00	5.48742834e-01	1.92771484e-03
182             	-7.11044618e+00	5.37569980e-01	1.88090862e-03
183             	-7.12745440e+00	5.27395916e-01	1.83585020e-03
184             	-7.13989813e+00	5.16912932e-01	1.79169237e-03
185             	-7.12472016e+00	5.07045950e-01	1.75307112e-03
186             	-7.10538411e+00	4.98253751e-01	1.71303730e-03
187             	-7.07747704e+00	4.88590180e-01	1.67410470e-03
188             	-7.03846174e+00	4.79769338e-01	1.63955702e-03
189             	-6.95647827e+00	4.69868573e-01	1.60196855e-03
190             	-6.92339822e+00	4.59096371e-01	1.56467475e-03
191             	-6.88023392e+00	4.48408615e-01	1.53063329e-03
192             	-6.82842932e+00	4.38652924e-01	1.49974094e-03
193             	-6.77359999e+00	4.29799712e-01	1.46954060e-03
194             	-6.71914401e+00	4.21144819e-01	1.44074748e-03
195             	-6.68039089e+00	4.12893211e-01	1.41461648e-03
196             	-6.62544107e+00	4.05404520e-01	1.39159050e-03
197             	-6.54593339e+00	3.98805675e-01	1.36742207e-03
198             	-6.51919043e+00	3.91879421e-01	1.34296197e-03
199             	-6.46283483e+00	3.84869582e-01	1.32158941e-03
200             	-6.43752821e+00	3.78744577e-01	1.30061721e-03
201             	-6.38460973e+00	3.72734309e-01	1.27953550e-03
202             	-6.35965342e+00	3.66692656e-01	1.26080194e-03
203             	-6.31304017e+00	3.61323943e-01	1.24428937e-03
204             	-6.28935958e+00	3.56591727e-01	1.22692608e-03
205             	-6.25131155e+00	3.51615711e-01	1.21108597e-03
206             	-6.22865481e+00	3.47076209e-01	1.19618572e-03
207             	-6.19593376e+00	3.42806056e-01	1.18085971e-03
208             	-6.18171970e+00	3.38413888e-01	1.16709421e-03
209             	-6.16678998e+00	3.34468935e-01	1.15217428e-03
210             	-6.16248954e+00	3.30193142e-01	1.13739313e-03
211             	-6.13374528e+00	3.25957122e-01	1.12504899e-03
212             	-6.12899091e+00	3.22419505e-01	1.11230412e-03
213             	-6.12327897e+00	3.18767047e-01	1.09855695e-03
214             	-6.12337660e+00	3.14827346e-01	1.08581571e-03
215             	-6.12265291e+00	3.11175927e-01	1.07530695e-03
216             	-6.12403953e+00	3.08164300e-01	1.06344765e-03
217             	-6.12423939e+00	3.04765632e-01	1.05198448e-03
218             	-6.13491943e+00	3.01480484e-01	1.04178001e-03
219             	-6.13892543e+00	2.98556062e-01	1.03119618e-03
220             	-6.15679163e+00	2.95522920e-01	1.02021111e-03
221             	-6.16108458e+00	2.92374790e-01	1.01017863e-03
222             	-6.18191133e+00	2.89499655e-01	1.00222506e-03
223             	-6.20181376e+00	2.87220301e-01	9.93379036e-04
224             	-6.21696344e+00	2.84685183e-01	9.84903402e-04
225             	-6.22572195e+00	2.82256213e-01	9.78065774e-04
226             	-6.24762173e+00	2.80296668e-01	9.69659291e-04
227             	-6.26814076e+00	2.77887516e-01	9.60940636e-04
228             	-6.28789580e+00	2.75388901e-01	9.53994164e-04
229             	-6.30687194e+00	2.73398162e-01	9.46023769e-04
230             	-6.32448915e+00	2.71113986e-01	9.37975851e-04
231             	-6.34397061e+00	2.68807592e-01	9.31828704e-04
232             	-6.36240389e+00	2.67045926e-01	9.24739464e-04
233             	-6.38117977e+00	2.65014273e-01	9.17253623e-04
234             	-6.40186610e+00	2.62868961e-01	9.11374580e-04
235             	-6.42123666e+00	2.61184130e-01	9.04722668e-04
236             	-6.43584216e+00	2.59277807e-01	8.98343030e-04
237             	-6.44838737e+00	2.57449514e-01	8.92798999e-04
238             	-6.45684819e+00	2.55860691e-01	8.87082143e-04
239             	-6.47486805e+00	2.54222339e-01	8.81095872e-04
240             	-6.48128416e+00	2.52506778e-01	8.75998030e-04
241             	-6.48882590e+00	2.51045825e-01	8.71598799e-04
242             	-6.49914588e+00	2.49785081e-01	8.67199708e-04
243             	-6.50252299e+00	2.48524378e-01	8.62708428e-04
244             	-6.50289265e+00	2.47237255e-01	8.58497001e-04
245             	-6.50431616e+00	2.46030334e-01	8.55207623e-04
246             	-6.51093358e+00	2.45087655e-01	8.50549466e-04
247             	-6.51121424e+00	2.43752708e-01	8.45959033e-04
248             	-6.50842060e+00	2.42437170e-01	8.42715060e-04
249             	-6.50578286e+00	2.41507503e-01	8.38030901e-04
250             	-6.50239597e+00	2.40165105e-01	8.32881240e-04
251             	-6.49751961e+00	2.38689301e-01	8.28957671e-04
252             	-6.48701121e+00	2.37564874e-01	8.24229847e-04
253             	-6.48449965e+00	2.36209962e-01	8.19411019e-04
254             	-6.47900021e+00	2.34828970e-01	8.15946812e-04
255             	-6.46702474e+00	2.33836188e-01	8.11833753e-04
256             	-6.46278311e+00	2.32657457e-01	8.07751859e-04
257             	-6.45075497e+00	2.31487657e-01	8.04913979e-04
258             	-6.44633050e+00	2.30674370e-01	8.01355100e-04
259             	-6.43874632e+00	2.29654457e-01	7.97907121e-04
260             	-6.42592279e+00	2.28666326e-01	7.95853163e-04
261             	-6.41636056e+00	2.28077697e-01	7.92781383e-04
262             	-6.40879197e+00	2.27197379e-01	7.89794766e-04
