# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
187             	9.90721061e-03	1.30240209e-03	9.46087737e-03	3.47479834e-03	1.86288308e-03
188             	9.65024913e-03	1.25459372e-03	9.03832741e-03	3.34786041e-03	1.82526143e-03
189             	9.08091694e-03	1.20502395e-03	8.66939119e-03	3.23213930e-03	1.78767507e-03
190             	8.90356040e-03	1.15464250e-03	8.33771506e-03	3.12415093e-03	1.74641957e-03
191             	8.61819940e-03	1.10425040e-03	8.01784229e-03	3.02764762e-03	1.70597275e-03
192             	8.45015297e-03	1.05602011e-03	7.73416121e-03	2.94008644e-03	1.66141767e-03
193             	7.98667501e-03	1.01031753e-03	7.51702260e-03	2.85982256e-03	1.60866138e-03
194             	7.56307882e-03	9.65850869e-04	7.26579450e-03	2.78723312e-03	1.55554013e-03
195             	7.31687590e-03	9.23477686e-04	7.02776204e-03	2.72154696e-03	1.50657227e-03
196             	7.35315442e-03	8.86562281e-04	6.88203514e-03	2.65643516e-03	1.45124551e-03
197             	6.98317912e-03	8.50234708e-04	6.73216624e-03	2.59168232e-03	1.39482885e-03
198             	6.78628279e-03	8.17443036e-04	6.55540370e-03	2.52615459e-03	1.34440938e-03
199             	6.57008538e-03	7.88797901e-04	6.40951265e-03	2.45749043e-03	1.29270756e-03
200             	6.34617577e-03	7.61596986e-04	6.28532544e-03	2.38822175e-03	1.24098117e-03
201             	6.18303263e-03	7.37598114e-04	6.11083136e-03	2.31886234e-03	1.19435366e-03
202             	6.02826432e-03	7.16411932e-04	5.98884833e-03	2.24950069e-03	1.15388747e-03
203             	6.01705865e-03	6.97459842e-04	5.84851441e-03	2.17822162e-03	1.11233211e-03
204             	5.71593925e-03	6.79995178e-04	5.72477862e-03	2.10797767e-03	1.07540598e-03
205             	5.53427262e-03	6.65611652e-04	5.54534816e-03	2.03597898e-03	1.03931730e-03
206             	5.36728123e-03	6.51098452e-04	5.39663031e-03	1.96566078e-03	1.00693189e-03
207             	5.26502266e-03	6.38396026e-04	5.25896158e-03	1.89827820e-03	9.83209878e-04
208             	5.38355077e-03	6.28485509e-04	5.14362156e-03	1.82874024e-03	9.55127933e-04
209             	5.04185448e-03	6.18402055e-04	4.98891713e-03	1.76211483e-03	9.25952972e-04
210             	4.92507838e-03	6.07991403e-04	4.84383074e-03	1.69780992e-03	9.03768121e-04
211             	4.82585803e-03	5.97017415e-04	4.67585040e-03	1.63527389e-03	8.81713692e-04
212             	4.50236383e-03	5.85657828e-04	4.51342114e-03	1.57586942e-03	8.60366097e-04
213             	4.34281868e-03	5.73738642e-04	4.35238397e-03	1.52000285e-03	8.40678671e-04
214             	4.33783133e-03	5.61816653e-04	4.20209556e-03	1.46907521e-03	8.29539817e-04
215             	4.64220649e-03	5.49846155e-04	4.05761187e-03	1.41827058e-03	8.12513854e-04
216             	4.04764074e-03	5.36219032e-04	3.92249488e-03	1.37276800e-03	7.96210931e-04
217             	3.87336464e-03	5.22042485e-04	3.77378314e-03	1.33023174e-03	7.83603180e-04
218             	3.81550419e-03	5.08113753e-04	3.64087872e-03	1.29103821e-03	7.72632246e-04
219             	3.59689871e-03	4.93463419e-04	3.51552486e-03	1.25495349e-03	7.58542064e-04
220             	3.47389826e-03	4.78776711e-04	3.39531313e-03	1.22224734e-03	7.47561298e-04
221             	3.52542477e-03	4.64321370e-04	3.28693464e-03	1.19467950e-03	7.42469380e-04
222             	3.73996270e-03	4.50211542e-04	3.19807234e-03	1.16653515e-03	7.29558679e-04
223             	3.47210121e-03	4.35939899e-04	3.09517774e-03	1.14238055e-03	7.14634470e-04
224             	3.46012798e-03	4.22240100e-04	3.02944770e-03	1.12162711e-03	7.06354606e-04
225             	3.42027940e-03	4.08217123e-04	2.93530279e-03	1.10078089e-03	6.90374607e-04
226             	3.17202217e-03	3.94823546e-04	2.83723541e-03	1.08215946e-03	6.74373953e-04
227             	3.30455773e-03	3.82415333e-04	2.76443795e-03	1.06614547e-03	6.63180396e-04
228             	3.13612136e-03	3.70976025e-04	2.70719081e-03	1.04825111e-03	6.46332006e-04
